variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,constructibility_status,allowed_use,prohibited_use,downstream_stage,notes,provider_release_commit,s21_intake_status,object_admissibility,can_enter_model_input_preparation,can_enter_modeling,can_construct_adjusted_shaikh,blocked_or_parked_status,s22_disposition,s22_planning_allowed,can_construct_variable_now,can_model_now,can_construct_adjusted_shaikh_now,provider_v1_commit,s21_commit,s22_notes
NFC_AFTER_TAX,NFC_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
NFC_PAT,NFC_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
NFC_RETAINED,NFC_undistributed_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
NFC_TAX,NFC_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
NFC_UNDISTRIBUTED,NFC_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
RESIDENTIAL_CAPITAL_MENU,residential_capital_menu,residential_exclusion_diagnostic,PRIVATE,fixed_assets,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as an exclusion diagnostic; never include silently in K_cap.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
DOWNSTREAM__e_adj_CORP,e_adj_CORP,e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__ln_e_adj_CORP,ln_e_adj_CORP,ln_e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__omega_adj_CORP,omega_adj_CORP,omega_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__pi_adj_CORP,pi_adj_CORP,pi_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__e_adj_NFC,e_adj_NFC,e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__e_x_Kcap,e_x_Kcap,e_x_Kcap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__e_x_ME,e_x_ME,e_x_ME,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__e_x_ME_NRC_gap,e_x_ME_NRC_gap,e_x_ME_NRC_gap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__e_x_NRC,e_x_NRC,e_x_NRC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__GOV_TRANS_GPIM,GOV_TRANS_GPIM,GOV_TRANS_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__IPP_NFC_GPIM,IPP_NFC_GPIM,IPP_NFC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__ln_e_adj_NFC,ln_e_adj_NFC,ln_e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__omega_adj_NFC,omega_adj_NFC,omega_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
DOWNSTREAM__pi_adj_NFC,pi_adj_NFC,pi_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Provider supplies ingredients only. This row is a construction contract, not staged data.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
INVENTORIES_MENU,inventories_menu,inventory_diagnostic,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Optional circulation stock-flow diagnostic.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__current_transfer_payments,CORP_current_transfer_payments,Shaikh_income_correction,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__current_transfer_receipts,CORP_current_transfer_receipts,Shaikh_income_correction,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__dividends_paid,CORP_dividends_paid,Shaikh_income_correction,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__dividends_received,CORP_dividends_received,Shaikh_income_correction,CORP,income_accounts,requires_manual_mapping,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__IPP__cfc_current_cost,CORP_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
CORP__IPP__gross_investment_current_cost,CORP_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
CORP__IPP__gross_stock_current_cost,CORP_intellectual_property_products_gross_stock_current_cost,downstream_GPIM_benchmark,CORP,fixed_assets,not_available,THEORETICALLY_MIXED_REVIEW_REQUIRED,metadata_or_mapping_review_required,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,not_admissible_theoretical_review_required,no,no,no,not_blocked_or_parked,exclude_pending_theoretical_review,no,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Excluded pending conceptual review.
CORP__IPP__net_stock_current_cost,CORP_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,source_level_available,source inspection; downstream source-of-truth construction after separate import validation,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,future S21_IMPORT_PROVIDER_V1_DATASET only,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,af67374e28232d02d65765d3836dc2ab3e3da8eb,imported_from_provider_v1,eligible_for_model_input_preparation_only,yes,no,no,not_blocked_or_parked,include_for_future_variable_construction_planning,yes,no,no,no,af67374e28232d02d65765d3836dc2ab3e3da8eb,3a0f5064d92fc09f97a55850b4086670d9cedc4b,Planning-only inclusion; construction requires later pass.
