object_id,candidate_status,s22_planning_allowed,source_observation_rows,dependency_status,missing_dependency,required_before_construction,notes,s23_resolution_action,can_construct_in_s23,priority
FIN_COMP,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_DIVIDENDS,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_GVA,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,97,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_NET_INT,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_NOS,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_NVA,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_PBT,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
FIN_TRANSFERS,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,0,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
T711_L28,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L4,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
T711_L44,READY_AS_BASELINE,yes,79,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__current_transfer_payments,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__current_transfer_receipts,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__dividends_paid,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__dividends_received,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__IPP__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__IPP__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__IPP__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__IPP__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__IPP__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__IPP__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__IPP__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__ME__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__ME__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__ME__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__ME__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__ME__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__ME__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__ME__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__NRC__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__NRC__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__NRC__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__NRC__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__NRC__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__NRC__retirements,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__NRC__revaluation_holding_gains,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__TOTAL__cfc_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__TOTAL__gross_investment_current_cost,READY_AS_BASELINE,yes,124,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__TOTAL__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
NFC__TOTAL__net_stock_current_cost,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC__TOTAL__net_stock_quantity_index,READY_AS_BASELINE,yes,100,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_CFC,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_COMP,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_DIVIDENDS_NET,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_GVA,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_NET_INT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_NOS,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_NVA,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_PBT,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_PROFITS_IVA_CC,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
NFC_TRANSFERS_NET,READY_AS_BASELINE,yes,97,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,READY_AS_BASELINE,yes,1,dependency_available_for_planning,none,future variable construction planning approval; no construction in S22,Planning-only inclusion; construction requires later pass.,dependency available for planning; construction deferred to future pass,no,ready_for_future_implementation_planning
CORP_IMPUTED_INTEREST_ADJ,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,1,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
CORP_GVA_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,1,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
CORP_GOS_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,1,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
CORP_NOS_EBIT_SHAIKH_RECONCILIATION,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,1,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,no,1,missing_construction_authorization,human review; construction authorization; downstream stage authorization,future variable construction planning approval; no construction in S22,Candidate preserved; not promoted.,obtain human review and explicit construction authorization; do not implement in S23,no,high_review_required
BUSINESS_WIDE_SHAIKH_RECONCILIATION,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,1,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,resolve theoretical boundary and update admissibility before implementation,no,high_theory_required
PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE,BLOCKED_DOUBLE_COUNTING_RISK,no,1,blocked_no_dependency_collection,unblock criteria not met,future variable construction planning approval; no construction in S22,Blocked; not promoted.,do not collect dependencies until object is unblocked,no,blocked
ADD_PROFITS_TO_NOS,BLOCKED_STOCK_FLOW_INCONSISTENT,no,1,blocked_no_dependency_collection,unblock criteria not met,future variable construction planning approval; no construction in S22,Blocked; not promoted.,do not collect dependencies until object is unblocked,no,blocked
